gene,BT549_E_100,BT549_E_20,BT549_E_200,BT549_E_50,BT549_R_100,BT549_R_20,BT549_R_200,BT549_R_50,HCC70_E_100,HCC70_E_20,HCC70_E_200,HCC70_E_50,HCC70_R_100,HCC70_R_20,HCC70_R_200,HCC70_R_50,HS578_E_100,HS578_E_20,HS578_E_200,HS578_E_50,HS578_R_100,HS578_R_20,HS578_R_200,HS578_R_50,MDA468_E_100,MDA468_E_20,MDA468_E_200,MDA468_E_50,MDA468_R_100,MDA468_R_20,MDA468_R_200,MDA468_R_50,SUM159_E_100,SUM159_E_20,SUM159_E_200,SUM159_E_50,SUM159_R_100,SUM159_R_20,SUM159_R_200,SUM159_R_50
A2M,-3612,-3405,-3618,-3584,-1564,-1425,-2830,579,-106,2174,-140,-2190,-2806,-3654,-3222,-2494,-320,-29,-524,-690,-830,860,938,1077,-1812,-2374,-895,-2303,-2618,-3286,-2116,-3833,-898,5,-1836,-2228,-257,-1486,-469,-1510
AARS,1406,877,745,625,512,503,302,387,139,613,-714,543,2265,-452,1569,1059,1535,1511,433,624,3263,-1940,2377,1526,474,482,405,197,-145,2363,1026,-719,-1871,200,-2226,122,414,135,-568,-1762
AATF,2102,1142,1785,2103,293,817,-978,923,-1706,-2500,-1311,-3377,-894,1149,-1022,649,-1200,481,-219,-79,-1686,-2233,-633,1013,-697,-918,-594,566,-1970,416,-926,1792,-2212,-3669,-904,-1146,-2783,-2610,-1767,-2944
ABAT,2242,-5,2112,1819,2521,2325,2720,2534,-443,1934,66,-710,2324,3041,2301,2510,2670,3430,3527,740,1818,2839,2318,2674,-15,261,-1324,-39,-2084,1300,395,366,1470,-221,2844,-687,2533,1855,2306,1862
ABCA1,997,2870,917,1424,-373,1460,181,640,264,3007,760,1688,15,141,-988,2022,1158,1492,-1032,665,-686,1750,-2322,-160,-11,3182,1705,1129,-1522,-3256,-244,-2003,1578,1557,-2324,685,554,2078,-878,2614
ABCA3,-2069,1821,-1001,-1229,1214,156,1619,1611,2684,1214,3429,2494,261,1684,-169,2573,812,737,-487,1135,1112,2892,657,1762,2152,1159,1876,3228,1853,1494,1761,3488,-2713,-3534,-2801,-604,-255,-472,-2610,734
ABCA5,-271,-284,-1671,-1806,-1480,-2049,-2100,-2405,-66,1273,-70,-498,-2425,2003,-2322,-2184,-454,347,723,70,-3369,-1549,-3295,-3235,-1100,-1959,36,-2973,1035,992,-167,1865,979,719,-780,-1238,-980,-849,-2418,-2082
ABCB1,2832,1114,2224,2278,-580,-467,504,-954,-194,23,282,1173,2723,873,3060,1140,484,-518,-943,-68,686,311,-1449,705,1411,2090,780,664,2816,-38,2167,1222,3280,2474,1396,2333,1762,2344,2394,1373
ABCB4,2472,2196,1772,1189,1216,3519,1524,2768,571,800,-1013,520,1359,1470,1601,1704,-1507,-1844,-1592,-1513,1209,-188,1666,2671,-992,3193,-71,734,-254,1762,-918,-1133,-1232,-300,-2043,-421,-2023,-895,-2542,-815
ABCB5,560,743,777,1323,-1411,-1985,-813,-96,617,2188,-466,1559,-1482,253,-1234,-872,-1815,-3012,-2554,-2578,-3402,-3662,-3252,-2971,-253,2015,702,110,-2591,-1760,-3464,-700,-2151,-335,-3093,-770,-3343,-2687,-3218,-2939
ABCB6,-1544,-1181,-2155,-674,-3138,1002,-2978,-1296,-2437,-538,-2908,1308,-258,-857,-17,-1317,-3683,-650,-3649,-3372,-272,285,-1061,1003,3465,1883,2997,3393,126,67,1072,-538,-3044,-3338,-2704,-2274,-1325,-2034,-2789,-523
ABCB7,-1663,214,-666,-1345,2650,2233,2321,2450,3411,1997,3185,3310,-1957,-133,-2926,-1170,2943,-1595,2556,2978,-2584,160,-3006,-43,1876,2754,2570,2602,-2547,908,-756,-2843,-450,-817,-1200,-251,32,-1756,139,-705
ABCC1,-2598,-199,655,950,-2838,-859,-3355,-1233,-2111,-3233,-1638,-2243,-1365,-573,-601,-1343,-2719,-1237,-3250,-2481,2216,1691,3151,1504,-1518,96,-2145,-32,1184,1220,2325,2397,-2441,-300,-2116,-2242,-1269,-810,-1109,-1363
ABCC10,-2273,-1342,-1109,-143,393,1181,585,1560,3179,90,3348,2330,1469,1217,1722,-1235,1323,3304,320,1805,-370,-2463,563,-657,1507,-103,2905,1843,1157,-2427,1509,-978,1098,-1017,920,116,1436,-191,2310,-254
ABCC2,-1198,-1342,-1444,-849,948,1555,771,2247,1885,2459,1218,2090,-1385,-448,-458,-46,-2001,-2098,-1093,-2712,-1076,358,-572,-817,3207,2297,3022,1933,2665,913,2505,1201,1935,1438,2082,2030,-1293,-1146,-1465,-857
ABCC3,-3230,552,-3377,-1760,-1899,-2399,-1908,-2546,3133,2960,3418,1547,-3627,-341,-3402,-2683,3139,1587,2136,2885,868,585,1017,52,-1951,-1036,20,-1853,1734,2162,1305,81,1872,-556,93,-207,412,1338,229,1171
ABCC4,-3564,-2937,-3800,-3757,-2108,-1139,-3434,-3014,2039,-2836,1650,371,-2819,-3082,-2831,-2694,2441,-320,2203,116,2056,-430,2378,731,-506,-2800,-2630,-1273,-2198,-1144,-796,-2516,734,-1348,-102,360,1750,67,849,418
ABCC5,362,1175,1789,1872,2144,3453,2701,2787,-237,-1067,781,-2003,2800,338,2879,817,-380,-1263,-1358,-1827,2054,-1933,1676,1913,-581,1803,599,2006,-1033,-2367,1567,-1928,-1499,-1224,-385,-1881,1545,-872,-996,1393
ABCD3,-1503,593,-2507,-507,559,-1501,1336,1139,-1651,99,-1458,-1098,-1314,574,318,-1007,-53,-306,331,-552,898,2406,1340,-1853,2574,-3132,1173,1094,-2839,-3266,-3653,-3034,-2359,2806,-423,-2577,-3263,-1996,-2461,-3250
ABCF1,-1060,-1315,-1806,-1597,-2709,-1542,-2054,-2346,-1017,-2004,-1262,-1340,-62,-2281,-1691,-2054,-1649,-2143,-651,-1157,2058,384,2642,1221,-3774,-1556,-3357,-3629,-1128,936,-55,950,-1172,723,-1739,-610,-1384,430,-802,844
ABCF2,-2837,-297,-2876,102,-1598,-83,-1081,-436,1272,2948,108,2693,-1587,1955,-2466,-114,1483,-2294,2755,557,476,-691,20,-753,-2032,-1168,-2614,-726,-806,215,-2227,-1695,-128,-3489,1295,-822,2204,-23,1402,1862
ABCF3,-1656,2056,-817,919,-1331,-32,-181,305,-1464,421,-1003,600,1035,1867,-381,1195,608,1514,-1678,92,2423,-1463,1137,1568,1820,1354,-441,661,-1776,483,-874,-3072,-160,-554,-2077,-1438,-2577,-2499,-2465,-2492
ABCG2,59,717,-127,2218,-2096,-1309,-432,-1681,-3197,-1808,-3274,-2159,-1397,-1208,-3074,-1623,-1318,-511,-2672,-2744,923,-1290,-2113,-545,-1761,-2659,-1709,-862,-2667,-414,-2369,-1934,-2397,-656,-2076,-3111,-1433,-1440,-2878,-407
ABCG5,-3134,-2350,-3447,-2244,-3163,-3605,-2816,-2170,-3406,1610,-2240,-1979,-2746,101,-3450,-818,-701,552,8,-1573,-2772,2002,-2996,867,-1321,-2136,-1650,-1414,-1160,-1994,-2221,-1561,521,1598,670,341,1383,951,1844,1370
ABCG8,2355,-2258,2300,2392,-668,-2320,-239,1248,-135,-2598,-1715,969,3052,946,3425,3008,-1913,-276,332,436,212,-141,1244,-333,296,233,927,2453,1726,-564,1941,1495,255,-699,-756,-545,2772,-1080,1802,248
ABHD2,-1250,771,-1224,-236,-3068,-1940,-3743,-2877,-2499,-539,-2226,-2127,1977,1330,1517,1379,-3224,-1572,-3580,-2476,-318,1708,-2449,2139,1927,-1831,2405,-734,2087,1091,1128,1803,-3131,-2084,-3599,-2752,-872,-1777,-2137,-1810
ABHD4,-2655,-1822,-3046,-2045,-3682,-2288,-2666,-2256,2687,-997,1296,-696,-521,-1378,-1033,-678,782,151,218,1990,1904,1353,2266,1447,-3618,-1692,-3285,-3243,-803,-1061,725,-2189,-840,-2203,73,-1316,-2420,-3180,-982,-2361
ABHD6,-1270,0,-1820,-2364,-2908,958,-1269,-2369,994,-1450,269,-568,1,-961,846,-1940,3348,2781,2118,2795,2938,1417,2085,1391,219,-1177,-526,-1041,3027,792,801,1630,2933,3064,1994,1211,-428,-63,-893,653
ABL1,1038,533,-1681,902,1192,-1163,-608,916,-535,-654,1167,-1097,158,103,-1408,1504,478,-1555,993,531,-2811,736,-2662,-2182,769,857,147,-1134,-2689,-1192,-1227,-341,-451,-148,718,-2800,-284,-970,-1003,484
ABL2,3538,3084,3108,3722,3465,3109,3544,3645,1374,2312,1214,1426,1300,2577,2463,572,-1669,-1054,-1746,-1842,-3705,-1129,-3304,-3696,871,721,1381,728,-267,-1248,-194,-1117,1731,2386,1279,2701,-602,1091,-991,1465
ACAA1,1421,914,2672,2292,-268,232,-239,202,-1666,-1281,-1585,814,350,348,1851,-257,-735,1337,-1984,-1342,-1488,630,-1848,-1089,16,-170,-250,501,759,639,2159,1407,45,-1833,-173,-985,-212,1606,-1654,-252
ACACA,613,-409,289,490,2322,831,1853,-98,628,-463,1583,-95,980,-1254,1225,1249,268,-962,431,-863,-149,-780,2101,-1500,1228,664,1371,-474,-2339,-828,-1638,-1303,2101,500,3127,-851,302,-391,1779,-278
ACACB,-1629,878,-1670,-1127,1584,-32,531,-269,-884,-1711,-145,-1664,-1369,318,-1460,-483,-1014,-1609,-1127,-2230,-1784,189,-1941,-1162,-161,-453,-1183,-351,-326,-2875,412,-1484,264,-309,-109,500,760,-49,1466,339
ACAD8,-1795,-2060,-711,-1289,-312,981,-1437,325,-2633,2211,901,-1001,-2579,314,-2817,-2147,-486,364,-1743,-541,-741,-2348,-53,-1181,3116,3832,760,3337,-852,-3327,2490,98,-2143,-1191,-2259,-1377,-2252,-328,-1332,703
ACADM,2014,2304,1822,2169,1238,433,572,-512,421,144,1397,373,-1448,1493,-1653,921,1127,940,645,-996,-1025,-1235,-2248,-1994,-424,1016,-834,136,148,2500,-635,2617,1279,-273,-1512,801,2771,758,906,1047
ACADS,-414,-1066,-188,-1454,-375,-1063,-937,-1411,1046,-886,84,690,579,-3518,1306,-2648,933,270,149,1452,2690,-475,1846,1795,200,47,219,-1075,-890,-2202,-1560,1355,1713,-1393,2370,297,1590,-1405,1387,191
ACADSB,-2614,-1570,-3219,-2563,-2384,1486,-3381,-1527,-1784,1951,-3060,-1557,-956,757,-964,1144,-224,235,-1618,4,-1220,826,86,532,1871,748,1017,382,1153,2622,737,734,-2299,-2148,-1702,-450,-481,-2678,-577,802
ACAT1,1404,1281,2464,984,2029,1238,2752,55,1389,994,-144,883,2552,2323,3410,2257,945,1263,996,992,421,342,-1655,748,-319,-818,701,-212,1535,761,1536,1083,1804,265,2808,1247,2526,1400,3100,1831
ACAT2,2719,927,2835,2594,3745,2332,3766,3666,112,551,281,2040,1137,3009,2191,2845,-1671,-238,746,-1781,-711,-1641,764,2342,1759,793,1244,2400,-748,-1259,-2159,-1326,1527,-969,1162,768,-250,1520,-761,-851
ACBD3,16,1690,91,1299,-1580,1101,-1590,-1614,-2734,3136,-2871,828,229,1896,1087,624,-220,176,114,-867,379,-421,338,-975,-18,1984,253,1445,2380,-528,1357,1723,-2249,92,-2211,-1148,-2021,1301,-2238,1257
ACD,-2596,-2775,-1819,-1997,-1359,-2809,-1632,-527,37,930,886,1825,-2150,-855,397,-2438,2437,179,387,1534,657,-287,3350,1695,-2870,-2578,-736,-2485,1888,-1304,2006,1792,386,90,-394,669,2163,333,705,1919
