gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
TSPAN6,-0.21275914553488956,-0.1852206906424425,-0.13448517053386433,0.08638868388672187,-0.09147476221224235,-0.31048473893992284
TNMD,-0.16306363611558253,0.028957055204251163,0.11655274091416995,-0.2743786848559918,-0.07337752340703825,0.08206511096793788
DPM1,0.2834151265288272,0.22819091251854712,0.2731808171708571,0.11210934499067313,-0.07664115306886517,-0.00786786899942671
SCYL3,0.4219973701657138,0.4976403549307753,0.42431792603872637,0.471346532288299,0.43937985994073686,0.3430262846258976
C1orf112,-0.004706583881592925,0.001266316282623537,-0.01618180593713539,-0.26142088072202047,-0.17685866412940615,-0.2186157208207214
FGR,-0.4954751548991514,-0.08988740853607854,-0.05548648499675394,0.24404072580913136,0.21854788887887644,0.04846129281009068
CFH,-0.4908291039067999,-0.5354592123972747,-0.41141060652598027,0.4620693828590967,0.24296377814334996,0.11067971396076266
FUCA2,-0.375850446643524,-0.4193596574814045,-0.20602497565391498,0.09776190390169591,-0.27791994210170834,-0.2491662604416406
GCLC,0.049020553630716036,0.08415190599717265,0.09871749791473579,-0.03294711690936556,0.040760638612496077,0.3113026078583883
NFYA,-0.2151862636403327,-0.6133383055541398,-0.6625975834042007,-0.19458104760746162,-0.6124147368773162,-0.3936193876653452
STPG1,-0.45045517601548624,-0.45662853306178747,-0.5430094989650823,0.0964047404760372,-0.14290250411117292,-0.3449417132022737
NIPAL3,0.004536804811940936,-0.18997257532205625,-0.2965023244959602,-0.033778872936841925,0.01521163665704209,-0.2364378712538231
LAS1L,-0.05072917339531912,-0.04794267339896281,-0.026726909793965452,0.5175639141299927,0.47812638350371356,0.2235268876641535
ENPP4,-0.06815621354764922,0.1418117958993585,0.21672564074182168,0.08316167608464903,6.157587763699337e-4,-0.1278833569042373
SEMA3F,0.6143931008364845,0.7252441518647824,0.7926326452068126,0.1462759966638781,-0.08722300256189677,-0.2323425766309499
