gene,Ferroptosis,Lipid peroxidation,Iron,Glutathione,GPX4,SLC7A11
A1BG,NA,NA,NA,1,1,NA
A1CF,NA,NA,NA,NA,NA,NA
A2M,NA,10,9,6,1,NA
A2ML1,NA,NA,NA,NA,NA,NA
A3GALT2,NA,NA,NA,NA,NA,NA
A4GALT,NA,NA,NA,1,NA,NA
A4GNT,NA,NA,NA,NA,NA,NA
AAAS,NA,1,NA,NA,NA,NA
AACS,1,1,1,NA,NA,NA
AADAC,NA,1,NA,NA,NA,NA
AADACL2,NA,NA,NA,NA,NA,NA
AADACL3,NA,NA,NA,NA,NA,NA
AADACL4,NA,NA,NA,NA,NA,NA
AADAT,NA,NA,NA,3,NA,NA
AAED1,NA,NA,NA,NA,NA,NA
AAGAB,NA,NA,NA,NA,NA,NA
AAK1,NA,NA,NA,NA,NA,NA
AAMDC,NA,NA,NA,NA,NA,NA
AAMP,NA,NA,NA,NA,NA,NA
AANAT,NA,5,1,8,NA,1
AAR2,NA,NA,NA,NA,NA,NA
AARD,NA,NA,NA,NA,NA,NA
AARS,NA,NA,NA,NA,NA,NA
AARS2,NA,NA,NA,NA,NA,NA
AARSD1,NA,NA,NA,NA,NA,NA
AASDH,NA,NA,NA,NA,NA,NA
AASDHPPT,NA,2,1,1,NA,NA
AASS,NA,NA,NA,1,NA,NA
AATF,NA,1,1,NA,NA,NA
AATK,NA,NA,NA,NA,NA,NA
ABAT,NA,NA,NA,2,NA,NA
ABCA1,4,47,6,8,2,1
ABCA10,NA,NA,NA,NA,NA,NA
ABCA12,NA,NA,NA,1,NA,NA
ABCA13,NA,NA,NA,NA,NA,NA
ABCA2,NA,1,NA,NA,NA,NA
ABCA3,NA,2,NA,3,NA,1
ABCA4,NA,1,3,3,NA,1
ABCA5,NA,2,1,1,NA,NA
ABCA6,NA,NA,NA,NA,NA,NA
ABCA7,NA,3,NA,1,NA,NA
ABCA8,1,1,NA,NA,NA,1
ABCA9,1,NA,NA,NA,NA,NA
ABCB1,2,11,3,34,2,7
ABCB10,2,4,7,3,NA,NA
ABCB11,NA,NA,NA,NA,NA,NA
ABCB4,NA,4,1,2,NA,1
ABCB5,NA,1,NA,3,NA,NA
ABCB6,3,7,3,3,NA,NA
ABCB7,2,1,11,5,NA,NA
ABCB8,NA,3,2,1,NA,NA
ABCB9,NA,NA,NA,NA,NA,NA
ABCC1,1,4,NA,37,1,1
ABCC10,NA,1,NA,3,NA,1
ABCC11,NA,1,NA,NA,NA,NA
ABCC12,NA,1,NA,NA,NA,NA
ABCC2,NA,NA,NA,NA,NA,NA
ABCC3,1,2,2,14,2,1
ABCC4,NA,NA,NA,NA,NA,NA
ABCC5,NA,1,1,5,NA,1
ABCC6,NA,1,1,2,NA,1
ABCC8,NA,2,2,6,NA,NA
ABCC9,NA,1,NA,NA,NA,NA
ABCD1,NA,2,NA,NA,NA,NA
ABCD2,NA,2,NA,NA,NA,NA
ABCD3,NA,1,NA,NA,NA,NA
ABCD4,NA,NA,NA,NA,NA,NA
ABCE1,NA,1,5,NA,1,NA
ABCF1,NA,NA,NA,1,NA,1
ABCF2,NA,NA,NA,NA,NA,NA
ABCF3,NA,NA,NA,NA,NA,NA
ABCG1,1,18,3,4,NA,2
ABCG2,2,18,13,25,2,5
ABCG4,NA,1,NA,2,NA,NA
ABCG5,NA,NA,NA,NA,NA,NA
ABCG8,NA,7,2,3,NA,NA
ABHD1,NA,NA,NA,NA,NA,NA
ABHD10,NA,NA,NA,NA,NA,NA
ABHD11,NA,NA,NA,NA,NA,NA
ABHD12,1,1,NA,NA,1,NA
ABHD12B,NA,NA,NA,NA,NA,NA
ABHD13,NA,NA,NA,NA,NA,NA
ABHD14A,NA,NA,NA,NA,NA,NA
ABHD14B,NA,NA,NA,NA,NA,NA
ABHD15,NA,NA,NA,NA,NA,NA
ABHD16A,NA,NA,NA,NA,NA,NA
ABHD16B,NA,NA,NA,NA,NA,NA
ABHD17A,NA,NA,NA,NA,NA,NA
ABHD17B,NA,NA,NA,NA,NA,NA
ABHD17C,NA,NA,NA,NA,NA,NA
ABHD18,NA,NA,NA,NA,NA,NA
ABHD2,NA,NA,NA,NA,NA,NA
ABHD3,NA,NA,NA,NA,NA,NA
ABHD4,NA,NA,NA,NA,NA,NA
ABHD5,NA,5,NA,1,NA,NA
ABHD6,NA,1,NA,NA,NA,NA
ABHD8,NA,NA,1,NA,NA,NA
ABI1,NA,NA,NA,1,NA,NA
ABI2,NA,NA,NA,NA,NA,NA
ABI3,NA,NA,NA,NA,NA,NA
ABI3BP,NA,NA,NA,NA,NA,NA
ABL1,NA,6,5,13,2,1
ABL2,NA,2,NA,1,NA,1
ABLIM1,NA,NA,NA,NA,NA,NA
ABLIM2,NA,NA,NA,NA,NA,NA
ABLIM3,NA,NA,1,NA,NA,NA
ABR,NA,NA,NA,1,NA,NA
ABRA,NA,1,NA,NA,NA,NA
ABRACL,NA,1,NA,NA,NA,NA
ABRAXAS1,NA,NA,NA,NA,NA,NA
ABRAXAS2,1,NA,1,NA,NA,NA
ABT1,NA,NA,NA,NA,NA,NA
ABTB1,NA,NA,NA,NA,NA,NA
ABTB2,NA,NA,NA,NA,NA,NA
ACAA1,NA,NA,1,4,NA,1
ACAA2,NA,4,NA,1,NA,NA
ACACA,4,20,1,15,3,1
ACACB,1,2,1,3,1,NA
ACAD10,NA,NA,NA,NA,NA,NA
ACAD11,1,NA,NA,NA,1,NA
ACAD8,NA,NA,NA,NA,NA,NA
ACAD9,NA,NA,NA,1,NA,NA
ACADL,NA,6,NA,3,1,NA
ACADM,NA,8,NA,6,2,NA
ACADS,NA,1,NA,4,1,NA
ACADSB,1,2,1,3,NA,NA
ACADVL,NA,6,NA,2,1,NA
ACAN,NA,1,4,9,4,NA
ACAP1,NA,NA,NA,NA,NA,NA
ACAP2,NA,NA,NA,NA,NA,NA
ACAP3,NA,NA,NA,NA,NA,NA
ACAT1,NA,2,NA,NA,NA,NA
ACAT2,1,NA,NA,2,NA,NA
ACBD3,1,2,1,NA,NA,NA
ACBD4,NA,NA,NA,NA,NA,NA
ACBD5,NA,1,NA,NA,NA,NA
ACBD6,NA,NA,NA,NA,NA,NA
ACBD7,NA,NA,NA,NA,NA,NA
ACCS,NA,NA,NA,NA,NA,NA
ACCSL,NA,NA,NA,NA,NA,NA
ACD,NA,NA,NA,NA,NA,NA
ACE,1,117,47,77,3,3
ACE2,1,8,3,9,1,NA
ACER1,NA,NA,NA,NA,NA,NA
ACER2,NA,NA,NA,NA,NA,NA
ACER3,NA,NA,NA,1,NA,NA
ACHE,NA,119,8,106,2,NA
ACIN1,NA,NA,NA,1,NA,NA
ACKR1,NA,NA,NA,NA,NA,NA
ACKR2,NA,2,1,NA,1,NA
ACKR3,NA,NA,NA,NA,NA,NA
ACKR4,NA,1,NA,NA,1,1
ACLY,NA,8,3,17,NA,1
ACMSD,NA,NA,NA,NA,NA,NA
ACO1,25,15,74,13,3,2
ACO2,4,12,20,13,1,NA
ACOD1,NA,1,4,3,NA,NA
ACOT1,1,1,NA,3,NA,NA
ACOT11,NA,1,NA,1,NA,NA
ACOT12,NA,NA,NA,1,NA,NA
ACOT13,NA,1,NA,1,1,NA
ACOT2,NA,2,NA,NA,NA,NA
ACOT4,NA,NA,NA,NA,NA,NA
ACOT6,NA,NA,NA,NA,NA,NA
ACOT7,NA,1,NA,1,NA,1
ACOT8,NA,NA,NA,NA,NA,NA
ACOT9,NA,NA,NA,NA,NA,NA
ACOX1,NA,16,1,12,2,NA
ACOX2,NA,2,1,NA,NA,1
ACOX3,NA,2,NA,1,NA,NA
ACOXL,NA,NA,NA,NA,NA,NA
ACP1,NA,NA,NA,2,NA,NA
ACP2,NA,NA,NA,2,NA,NA
ACP4,NA,2,NA,2,NA,NA
ACP5,NA,2,10,8,NA,NA
ACP6,NA,NA,NA,NA,NA,NA
ACP7,NA,NA,NA,NA,NA,NA
ACPP,NA,NA,NA,NA,NA,NA
ACR,NA,7,NA,5,2,NA
ACRBP,NA,NA,1,NA,2,NA
ACRV1,NA,NA,NA,2,NA,NA
ACSBG1,NA,1,1,NA,1,NA
ACSBG2,NA,NA,NA,2,NA,NA
ACSF2,7,1,2,1,3,NA
