Gene,BT549_E_b,HCC70_R_b,MDA468_E_a,BT549_R_a,MDA468_C_a,HS578_R_a,HS578_R_a2,HCC70_E_b,HS578_C_a,BT549_E_a,HCC70_C_a,HCC70_R_a,MDA468_R_b,HS578_E_a,HS578_E_b,HCC70_E_a,MDA468_E_b,HCC70_C_b,BT549_R_b,BT549_C_a,BT549_C_b,MDA468_C_b,HS578_C_b,MDA468_R_a
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BG,6,0,0,5,1,4,0,0,1,1,0,0,2,2,1,0,0,0,4,5,2,0,1,0
A1BG-AS1,100,0,28,54,31,49,28,4,51,47,3,5,14,51,42,2,15,4,84,116,58,25,44,25
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,28,0,25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
A2M-AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,63,1,0,0,0,0,82,0,0,41,47,1,0,0,82,0,133,0,0,1,0,0,1
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,69,6,9,35,12,2,0,3,6,43,1,4,5,7,5,4,8,2,66,80,56,13,0,6
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,190,65,191,97,140,115,97,74,119,100,70,61,87,185,142,113,67,172,193,190,150,130,106,115
AACS,30,96,122,20,108,69,55,105,75,14,95,114,45,80,49,152,56,238,33,41,19,93,76,106
AACSP1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
AADAC,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AADAT,2,0,27,0,7,9,10,1,10,1,0,0,9,8,12,2,9,0,1,1,1,10,13,11
AAED1,95,19,8,41,13,7,15,23,13,42,25,30,12,23,9,26,5,63,77,89,39,9,13,4
AAGAB,34,22,52,20,47,17,14,27,14,10,17,21,12,25,13,37,12,47,25,38,21,27,15,38
AAK1,309,122,249,152,203,291,241,195,344,146,139,228,73,425,300,211,67,416,334,247,185,134,277,100
AAMDC,65,42,100,52,108,45,64,60,63,45,56,54,62,46,51,88,44,113,73,113,55,83,42,110
AAMP,352,267,643,191,500,330,240,396,431,186,302,299,265,397,268,395,225,657,324,373,262,340,344,356
AANAT,3,0,10,1,7,0,0,0,0,1,1,0,2,0,0,0,3,0,1,1,2,7,1,6
AAR2,227,60,140,125,138,71,69,90,91,133,72,62,64,114,90,81,55,139,187,294,165,94,71,86
AARD,146,301,1595,117,1024,1,2,292,2,100,272,280,521,1,2,381,332,629,169,158,133,579,1,722
AARS,532,278,686,389,350,149,146,519,201,357,280,339,143,215,214,654,199,649,751,610,385,285,181,264
AARS2,45,9,81,21,48,12,24,12,44,41,21,14,30,41,30,21,27,38,47,50,33,58,24,44
AARSD1,16,8,20,5,11,6,4,9,4,5,5,1,6,10,4,5,1,9,10,9,6,5,5,11
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,4,0,6,2,3,0,0,3,4,0,0,1,0,4,2,1,2,2,2,4,1,2,3,3
AASDHPPT,87,29,169,38,91,36,43,39,51,46,30,18,26,63,39,39,25,85,63,104,57,48,41,54
AASS,1,0,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0
AATBC,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AATF,430,209,514,260,344,254,270,261,431,319,221,263,175,368,352,335,169,472,433,540,396,299,375,250
AATK,4,14,5,4,4,3,1,6,0,3,6,15,5,4,1,9,0,14,2,7,1,1,1,3
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB015752.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABALON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,4,13,0,6,3,1,4,1,0,7,6,2,1,1,4,4,4,1,1,1,5,1,3
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031661.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031674.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01040607.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCA10,1,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,4,1,3,0,0,0
ABCA11P,6,3,3,2,3,1,4,0,2,3,0,0,2,3,0,2,2,3,10,4,7,2,0,2
ABCA12,0,7,7,0,2,0,1,8,3,0,13,3,0,0,0,8,0,20,0,1,1,1,0,4
ABCA13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ABCA17P,3,0,4,2,13,1,2,2,1,1,0,1,3,0,2,1,2,2,6,5,2,7,2,9
ABCA2,27,29,31,11,42,40,26,49,56,21,26,35,19,67,36,59,16,73,25,24,19,40,31,33
ABCA3,120,6,97,55,62,3,5,11,7,64,9,10,79,10,10,13,49,23,136,140,65,99,6,76
ABCA4,4,0,8,1,9,1,2,0,1,0,0,0,3,2,1,0,5,0,1,0,1,10,1,8
ABCA5,5,0,2,1,1,1,1,0,2,2,0,0,1,2,1,0,0,0,8,3,4,2,2,1
ABCA6,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ABCA7,13,26,39,13,47,6,8,45,8,5,40,23,12,16,8,31,8,67,10,7,11,17,9,13
ABCA8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,28,31,27,14,19,9,19,27,23,17,19,31,16,13,12,29,11,59,28,29,15,30,19,22
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
ABCB7,12,10,33,17,26,4,7,9,12,12,10,5,11,8,8,14,6,34,15,14,9,10,6,15
ABCB8,78,54,57,48,60,70,50,67,67,38,61,68,23,103,70,93,25,146,93,68,75,47,67,44
ABCB9,44,19,36,15,24,4,4,16,2,19,19,30,12,4,7,32,10,60,28,36,18,26,2,18
ABCC1,78,75,57,46,42,51,60,77,87,53,73,108,16,83,63,75,17,175,97,77,41,23,72,37
ABCC10,65,46,82,36,88,27,33,47,54,35,45,39,35,52,41,52,29,93,63,58,51,68,52,70
ABCC11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCC2,0,0,6,1,2,0,0,0,0,0,1,1,0,2,1,0,0,1,1,3,0,0,2,0
ABCC3,88,144,127,36,94,72,47,186,81,49,137,218,44,81,62,183,33,366,59,56,42,56,60,52
ABCC4,22,0,7,9,2,3,3,0,5,17,0,0,1,10,5,0,3,1,17,20,20,7,6,2
ABCC5,74,70,76,30,49,32,25,112,89,34,91,75,14,82,46,100,24,223,55,59,46,29,49,40
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCC6P1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ABCC6P2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,32,96,59,19,53,12,19,57,20,19,55,84,24,23,16,76,19,121,26,42,30,40,9,26
ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,50,45,130,14,83,60,26,47,43,20,35,49,36,59,29,47,30,121,54,30,26,37,44,64
ABCD4,60,26,97,31,67,24,34,33,70,21,27,19,28,60,43,34,31,71,71,54,52,40,51,40
ABCE1,15,13,11,7,26,7,16,8,11,7,12,3,8,20,6,6,8,18,16,22,9,9,14,17
ABCF1,647,151,762,278,645,160,148,171,302,298,145,209,267,237,232,197,208,401,525,567,423,399,212,429
ABCF2,138,30,146,76,96,101,102,57,149,78,45,62,51,174,116,57,54,99,132,130,111,110,84,65
ABCF2P1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,126,149,131,76,92,79,81,215,142,90,158,157,48,162,102,246,52,399,145,156,101,62,94,47
ABCG1,0,0,20,0,6,0,0,0,0,0,0,0,2,0,0,1,3,2,0,0,0,2,0,6
ABCG2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG4,2,0,2,1,2,2,2,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,2,1
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,1
ABHD10,38,26,45,28,50,31,25,36,32,35,35,10,12,34,29,32,19,68,33,53,44,34,18,22
ABHD11,112,159,203,68,174,80,63,144,98,66,137,189,67,138,102,169,63,303,131,120,85,105,79,128
ABHD11-AS1,0,4,2,0,2,2,5,4,0,0,1,7,1,1,1,2,0,5,0,1,0,4,0,1
ABHD12,449,316,432,253,336,218,211,440,328,295,364,346,195,317,220,521,166,693,407,471,353,285,270,291
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,2,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
ABHD14A,74,19,29,50,30,38,32,28,50,41,24,25,10,64,53,62,17,77,81,95,63,30,39,17
ABHD14A-ACY1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
ABHD14B,107,79,129,113,153,111,133,90,176,74,114,100,112,146,116,108,106,183,134,161,115,153,175,142
ABHD15,27,38,14,10,8,13,15,47,18,11,29,27,5,25,16,49,7,85,31,28,17,3,20,8
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,1,0,4,1,2,0,0,0,1,2,0,0,1,1,0,0,0,1,0,1,1,0,0,0
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,364,117,152,112,211,97,127,116,153,119,83,113,96,307,94,130,63,242,228,328,140,161,129,180
ABHD17AP1,2,0,0,1,0,2,0,3,1,1,1,2,0,2,1,1,2,1,2,4,0,0,0,1
ABHD17AP3,1,0,0,0,0,1,0,0,3,1,0,1,0,1,1,0,1,2,0,1,2,0,2,0
