Gene,SUM159_C_a,SUM159_E_a,SUM159_R_a,SUM159_C_b,SUM159_E_b,SUM159_R_b,MDA231_C_a,MDA231_E_a,MDA231_R_a,MDA231_C_b,MDA231_E_b,MDA231_R_b,HCC38_C_a,HCC38_E_a,HCC38_C_b,HCC38_E_b
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,1,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0
7SK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
A1BG,5,0,1,3,2,1,0,0,0,0,0,0,0,2,3,0
A1BG-AS1,120,39,71,58,56,49,25,24,30,20,14,23,120,80,140,117
A1CF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
A2ML1,4,1,1,2,0,0,0,0,0,0,2,0,0,2,2,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,284,104,143,137,138,107,76,73,115,64,86,64,6,6,5,8
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,781,259,402,386,343,291,180,198,229,151,240,219,330,163,437,292
AACS,387,137,230,165,152,168,126,130,149,129,207,122,353,209,412,306
AACSP1,1,1,2,2,0,0,0,0,1,3,0,1,0,0,1,1
AADAC,26,11,10,9,10,5,1,2,4,3,4,3,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,3,2,3,1,0,4,1,0,1,2,0,1,0,0,0,0
AADAT,75,24,30,26,25,21,34,69,73,51,71,34,43,12,53,40
AAED1,67,30,26,30,25,25,48,39,41,35,50,26,27,7,34,38
AAGAB,132,44,69,51,78,48,30,33,51,41,49,35,67,19,73,63
AAK1,944,367,472,383,396,381,497,482,785,511,517,465,379,285,428,389
AAMDC,215,72,103,100,63,75,81,107,151,106,151,98,225,182,294,187
AAMP,1322,444,635,689,621,541,652,754,780,709,833,667,1121,851,1421,1095
AANAT,0,0,0,1,1,0,0,0,2,1,0,2,3,0,2,0
AAR2,580,175,253,211,213,178,222,273,236,267,302,188,278,186,329,274
AARD,7,1,3,3,2,0,19,21,28,24,22,33,165,147,208,183
AARS,1153,423,595,430,447,533,489,431,604,418,495,434,749,1165,910,1289
AARS2,185,67,85,76,56,61,63,56,73,66,68,54,268,185,354,282
AARSD1,40,25,21,21,24,23,27,21,35,24,21,30,29,18,34,38
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,7,4,3,4,3,2,4,7,12,8,7,10,2,0,5,4
AASDHPPT,314,86,133,132,117,79,174,221,267,252,255,164,119,35,148,157
AASS,28,11,6,13,5,6,37,72,67,57,53,39,2,1,2,7
AATBC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AATF,2330,834,1182,1119,973,940,1106,1234,1417,1111,1446,1051,1112,824,1353,1022
AATK,4,2,0,2,5,3,0,0,0,0,0,0,4,1,6,2
