cell,conc,logConc,1,2,3,4
MDAMB468,5.00E-08,-7.301029996,100,100,100,
MDAMB468,0.0000003,-6.522878745,70.57607,66.23268,53.81605,
MDAMB468,0.0000006,-6.22184875,61.12453,42.88114,51.27202,
MDAMB468,0.0000012,-5.920818754,50.81063,41.32718,45.79256,
MDAMB468,0.0000024,-5.619788758,47.70611,35.1533,48.53229,
MDAMB468,0.0000048,-5.318758763,39.66885,31.12138,43.05284,
MDAMB468,0.0000096,-5.017728767,29.32046,21.79756,31.89824,
MDAMB468,0.0000192,-4.716698771,20.38634,15.58169,14.48141,
BT20,5.00E-08,-7.301029996,100,100,100,
BT20,0.0000003,-6.522878745,43.57355,57.89473,67.57679,
BT20,0.0000006,-6.22184875,48.62556,52.7057,62.45734,
BT20,0.0000012,-5.920818754,36.06983,51.37139,54.60751,
BT20,0.0000024,-5.619788758,35.36403,49.14753,47.78157,
BT20,0.0000048,-5.318758763,35.9584,42.77243,41.63823,
BT20,0.0000096,-5.017728767,34.13818,47.51668,40.61433,
BT20,0.0000192,-4.716698771,29.12333,32.24611,26.62116,
HCC1937,5.00E-08,-7.301029996,100,100,100,
HCC1937,0.0000003,-6.522878745,83.92858,77.57789,69.67871,
HCC1937,0.0000006,-6.22184875,69.23469,56.21587,77.30924,
HCC1937,0.0000012,-5.920818754,56.07143,51.55798,66.06426,
HCC1937,0.0000024,-5.619788758,41.76021,35.91391,43.5743,
HCC1937,0.0000048,-5.318758763,39.48979,37.45583,28.31325,
HCC1937,0.0000096,-5.017728767,32.16837,37.64857,32.73092,
HCC1937,0.0000192,-4.716698771,27.09184,20.78381,29.51807,
HCC70,5.00E-08,-7.301029996,100,100,100,
HCC70,0.0000003,-6.522878745,90.5411,85.71429,43.04636,
HCC70,0.0000006,-6.22184875,89.98721,67.16842,48.34437,
HCC70,0.0000012,-5.920818754,82.23264,52.62709,49.29044,
HCC70,0.0000024,-5.619788758,70.51555,57.99489,44.56008,
HCC70,0.0000048,-5.318758763,58.37239,47.2309,46.73605,
HCC70,0.0000096,-5.017728767,41.79803,29.82107,41.53264,
HCC70,0.0000192,-4.716698771,25.09587,10.22437,25.92242,
MDAMB231,5.00E-08,-7.301029996,100,100,100,
MDAMB231,0.0000003,-6.522878745,82.16651,97.76627,92.49084,
MDAMB231,0.0000006,-6.22184875,73.73532,63.93477,67.58242,
MDAMB231,0.0000012,-5.920818754,70.5134,34.04014,43.04029,
MDAMB231,0.0000024,-5.619788758,46.16079,15.83037,28.57143,
MDAMB231,0.0000048,-5.318758763,26.9723,1.958563,10.25641,
MDAMB231,0.0000096,-5.017728767,15.71063,1.683393,6.959707,
MDAMB231,0.0000192,-4.716698771,0.63234,1.715766,2.564103,
SUM159PT,5.00E-08,-7.301029996,100,100,100,
SUM159PT,0.0000003,-6.522878745,97.20717,67.77121,86.34064,
SUM159PT,0.0000006,-6.22184875,95.56065,24.2998,83.6425,
SUM159PT,0.0000012,-5.920818754,76.17758,5.956609,84.99157,
SUM159PT,0.0000024,-5.619788758,16.5694,4.142012,6.913997,
SUM159PT,0.0000048,-5.318758763,3.501459,4.299804,2.866779,
SUM159PT,0.0000096,-5.017728767,2.730304,4.18146,2.866779,
SUM159PT,0.0000192,-4.716698771,2.250937,3.905326,2.192243,
HS578T,5.00E-08,-7.301029996,100,100,100,
HS578T,0.0000003,-6.522878745,61.2153,82.51633,43.81592,
HS578T,0.0000006,-6.22184875,72.46812,70.09804,40.74784,
HS578T,0.0000012,-5.920818754,69.01726,34.15033,36.62512,
HS578T,0.0000024,-5.619788758,33.28332,26.87909,38.63854,
