cell,conc,logConc,1,2,3,4
MDAMB468,1.00E-10,-10,100,100,100,
MDAMB468,0.000000001,-9,94.95036,98.50464,86.03959,
MDAMB468,2.50E-09,-8.602059991,99.47519,98.20978,94.41915,
MDAMB468,0.000000005,-8.301029996,92.41135,96.33531,89.9644,
MDAMB468,0.00000001,-8,92.2695,95.42966,94.04654,
MDAMB468,0.000000025,-7.602059991,75.2766,83.90902,86.12238,
MDAMB468,0.00000005,-7.301029996,72.21277,60.76243,81.65108,
MDAMB468,0.0000001,-7,45.2766,30.66554,73.43712,
MDAMB468,0.00000025,-6.602059991,28.04255,25.12637,25.06417,
MDAMB468,0.0000005,-6.301029996,26.34043,9.224938,10.11841,
BT20,1.00E-10,-10,100,100,100,
BT20,0.000000001,-9,91.29082,99.74643,93.61059,
BT20,2.50E-09,-8.602059991,72.66718,92.49493,71.15312,
BT20,0.000000005,-8.301029996,46.15086,53.39757,46.3516,
BT20,0.00000001,-8,44.86781,34.48275,43.32703,
BT20,0.000000025,-7.602059991,33.32037,28.34685,31.90927,
BT20,0.00000005,-7.301029996,30.71539,20.28397,29.14934,
BT20,0.0000001,-7,22.93935,12.57607,19.05482,
BT20,0.00000025,-6.602059991,15.39658,9.127784,12.89225,
BT20,0.0000005,-6.301029996,13.49144,7.860041,9.338372,
HCC1937,1.00E-10,-10,100,100,100,
HCC1937,0.000000001,-9,87.04958,97.88574,104.3532,
HCC1937,2.50E-09,-8.602059991,84.25901,96.17634,108.9552,
HCC1937,0.000000005,-8.301029996,77.59415,95.09671,107.4627,
HCC1937,0.00000001,-8,82.01029,89.78858,110.4167,
HCC1937,0.000000025,-7.602059991,70.73963,82.54611,92.59951,
HCC1937,0.00000005,-7.301029996,60.82363,60.23392,94.71392,
HCC1937,0.0000001,-7,49.63425,33.19838,73.94279,
HCC1937,0.00000025,-6.602059991,40.2059,29.73459,53.63806,
HCC1937,0.0000005,-6.301029996,40.74777,17.31894,53.73134,
HCC70,1.00E-10,-10,100,100,100,
HCC70,0.000000001,-9,93.63233,98.42824,86.43874,
HCC70,2.50E-09,-8.602059991,93.30011,96.70857,91.59544,
HCC70,0.000000005,-8.301029996,78.95902,94.5451,81.65242,
HCC70,0.00000001,-8,73.03432,91.12424,66.35328,
HCC70,0.000000025,-7.602059991,57.91805,88.46153,57.37891,
HCC70,0.00000005,-7.301029996,36.10188,69.04585,44.8433,
HCC70,0.0000001,-7,30.09413,46.76405,27.60684,
HCC70,0.00000025,-6.602059991,25.91362,37.61094,21.53846,
HCC70,0.0000005,-6.301029996,15.11628,30.3994,12.79202,
MDAMB231,1.00E-10,-10,100,100,100,
MDAMB231,0.000000001,-9,38.41768,72.25712,93.51465,
MDAMB231,2.50E-09,-8.602059991,13.11476,31.70614,60.52999,
MDAMB231,0.000000005,-8.301029996,7.341414,9.811501,32.04324,
MDAMB231,0.00000001,-8,7.056311,6.621555,25.41841,
MDAMB231,0.000000025,-7.602059991,6.201,5.654906,18.27058,
MDAMB231,0.00000005,-7.301029996,5.773343,5.219913,12.86611,
MDAMB231,0.0000001,-7,4.77548,4.78492,8.682009,
MDAMB231,0.00000025,-6.602059991,3.777623,4.156597,5.962343,
MDAMB231,0.0000005,-6.301029996,4.775483,4.543257,3.591353,
SUM159PT,1.00E-10,-10,100,100,100,
SUM159PT,0.000000001,-9,83.87626,99.90426,94.02986,
SUM159PT,2.50E-09,-8.602059991,78.03065,91.9818,93.31468,
SUM159PT,0.000000005,-8.301029996,68.39209,87.29057,63.07525,
SUM159PT,0.00000001,-8,55.46631,56.70178,60.71207,
SUM159PT,0.000000025,-7.602059991,45.69389,51.26854,46.48632,
SUM159PT,0.00000005,-7.301029996,30.16511,42.00575,41.60448,
SUM159PT,0.0000001,-7,22.57922,33.70034,23.04104,
SUM159PT,0.00000025,-6.602059991,9.742671,17.47247,10.16791,
SUM159PT,0.0000005,-6.301029996,4.13506,10.57923,4.166667,
HS578T,1.00E-10,-10,100,100,100,
HS578T,0.000000001,-9,84.19233,77.91232,105.9829,
HS578T,2.50E-09,-8.602059991,68.73021,75.26096,84.80119,
HS578T,0.000000005,-8.301029996,65.01584,70.45929,65.92345,
HS578T,0.00000001,-8,59.25713,62.44259,57.56225,
HS578T,0.000000025,-7.602059991,53.61359,46.07516,52.50836,
