cell,conc,logConc,1,2,3,4
MCF7,1.00E-10,-10,100,100,100,100
MCF7,1.00E-09,-9,99.85495,101.6959,99.05849,99.7307
MCF7,2.50E-09,-8.602059991,97.42143,96.49122,94.1907,99.64094
MCF7,5.00E-09,-8.301029996,96.37389,94.07026,90.14422,97.93537
MCF7,1.00E-08,-8,95.34247,90.79346,88.54167,96.16217
MCF7,2.50E-08,-7.602059991,95.32635,88.92066,88.15144,96.12747
MCF7,5.00E-08,-7.301029996,94.84286,86.82799,84.89983,95.45183
MCF7,1.00E-07,-7,92.18371,86.3719,84.23477,94.26451
MCF7,2.50E-07,-6.602059991,92.01853,85.49486,83.89022,92.23219
MCF7,5.00E-07,-6.301029996,90.4835,84.12417,82.96554,89.70855
SKBR3,1.00E-10,-10,100,100,100,100
SKBR3,1.00E-09,-9,99.42513,101.3647,100.4002,100.4002
SKBR3,2.50E-09,-8.602059991,99.59758,93.12941,101.5118,101.5118
SKBR3,5.00E-09,-8.301029996,96.95316,83.48234,101.3339,101.3339
SKBR3,1.00E-08,-8,96.55074,87.01176,104.0462,104.0462
SKBR3,2.50E-08,-7.602059991,95.3435,85.36469,99.99999,99.99999
SKBR3,5.00E-08,-7.301029996,93.61886,83.57647,98.31035,98.31035
SKBR3,1.00E-07,-7,92.06669,91.01175,97.10983,97.10983
SKBR3,2.50E-07,-6.602059991,91.89423,80.14116,95.82037,95.82037
SKBR3,5.00E-07,-6.301029996,76.40127,74.07058,92.61894,92.61894
JIMT1,1.00E-10,-10,100,100,100,100
JIMT1,1.00E-09,-9,97.72862,99.07071,100.1653,96.02762
JIMT1,2.50E-09,-8.602059991,96.03997,106.845,99.50413,95.16774
JIMT1,5.00E-09,-8.301029996,95.6511,93.81233,93.02112,98.82525
JIMT1,1.00E-08,-8,93.42372,101.5412,97.83287,101.8045
JIMT1,2.50E-08,-7.602059991,90.89072,96.82684,89.89899,92.6741
JIMT1,5.00E-08,-7.301029996,90.37936,101.3826,86.2259,79.22974
JIMT1,1.00E-07,-7,90.07017,84.85946,65.17906,61.29345
JIMT1,2.50E-07,-6.602059991,69.0094,30.43971,6.409551,30.43971
JIMT1,5.00E-07,-6.301029996,10.08443,1.699908,3.471073,10.08443
MDAMB453,1.00E-10,-10,100,100,100,100
MDAMB453,1.00E-09,-9,98.75599,91.18911,100.3248,100.3248
MDAMB453,2.50E-09,-8.602059991,96.17226,103.8682,98.19026,98.19026
MDAMB453,5.00E-09,-8.301029996,93.77992,110.4584,98.7471,98.7471
MDAMB453,1.00E-08,-8,92.4402,81.59027,87.4246,87.4246
MDAMB453,2.50E-08,-7.602059991,90.8134,99.42696,86.86776,86.86776
MDAMB453,5.00E-08,-7.301029996,89.80862,89.11175,77.41068,77.41068
MDAMB453,1.00E-07,-7,84.97608,95.27221,76.38052,76.38052
MDAMB453,2.50E-07,-6.602059991,76.07655,81.0172,72.4362,72.4362
MDAMB453,5.00E-07,-6.301029996,62.96172,72.63611,67.65662,67.65662
T47D,1.00E-10,-10,100,100,100,100
T47D,1.00E-09,-9,98.51212,97.82609,98.32214,98.51212
T47D,2.50E-09,-8.602059991,99.20807,99.80931,97.24832,99.20807
T47D,5.00E-09,-8.301029996,95.80032,101.1823,94.09395,95.80032
T47D,1.00E-08,-8,95.01681,95.54157,92.08053,94.01681
T47D,2.50E-08,-7.602059991,94.13654,93.40199,90.91722,93.13654
T47D,5.00E-08,-7.301029996,93.59251,93.28757,89.17225,93.59251
T47D,1.00E-07,-7,92.02424,92.41037,87.51678,92.02424
T47D,2.50E-07,-6.602059991,90.1039,89.85508,86.68904,91.1039
T47D,5.00E-07,-6.301029996,89.576,85.24028,82.9754,90.576
BT20,1.00E-10,-10,100,100,100,100
BT20,1.00E-09,-9,92.76859,92.7742,98.66066,99.17187
BT20,2.50E-09,-8.602059991,87.2196,84.41936,87.17561,98.58525
BT20,5.00E-09,-8.301029996,83.26447,78.58064,78.23539,86.47344
BT20,1.00E-08,-8,79.01417,44.48388,74.51866,63.38856
BT20,2.50E-08,-7.602059991,71.22196,23.6129,72.02411,40.85577
BT20,5.00E-08,-7.301029996,49.0555,2.516128,65.52821,15.2519
BT20,1.00E-07,-7,40.90909,1.67742,32.49623,6.176674
BT20,2.50E-07,-6.602059991,22.75679,1.258065,4.470115,5.452037
BT20,5.00E-07,-6.301029996,3.541913,1.290323,2.293655,3.62319
HCC70,1.00E-10,-10,100,100,100,100
HCC70,1.00E-09,-9,95.46535,88.87568,99.35808,97.5281
HCC70,2.50E-09,-8.602059991,85.15268,79.05778,96.96393,99.15299
HCC70,5.00E-09,-8.301029996,81.69684,74.88123,95.62804,93.36215
HCC70,1.00E-08,-8,79.22838,69.08154,89.90284,87.62316
HCC70,2.50E-08,-7.602059991,77.03418,61.52019,88.74045,94.5376
HCC70,5.00E-08,-7.301029996,75.4434,50.19794,83.74393,84.07952
HCC70,1.00E-07,-7,71.42074,38.87569,68.11243,63.57822
HCC70,2.50E-07,-6.602059991,43.64601,14.5487,39.07009,49.49006
HCC70,5.00E-07,-6.301029996,28.82063,1.38559,22.53643,36.38721
MDAMB468,1.00E-10,-10,100,100,100,100
MDAMB468,1.00E-09,-9,94.92119,95.22032,99.45639,98.10802
MDAMB468,2.50E-09,-8.602059991,87.27379,93.24123,97.73493,97.79842
MDAMB468,5.00E-09,-8.301029996,84.38413,82.67364,97.87729,88.92329
MDAMB468,1.00E-08,-8,76.56159,68.40926,93.10121,86.13692
MDAMB468,2.50E-08,-7.602059991,65.324,68.22256,93.41187,79.39457
MDAMB468,5.00E-08,-7.301029996,59.51547,68.70799,92.0787,71.68903
MDAMB468,1.00E-07,-7,64.7986,50.48544,90.6161,66.35707
MDAMB468,2.50E-07,-6.602059991,20.43199,3.883496,79.31659,40.97007
MDAMB468,5.00E-07,-6.301029996,11.76299,3.584764,22.43075,35.60371
HCC1937,1.00E-10,-10,100,100,100,100
HCC1937,1.00E-09,-9,95.37649,96.9913,89.24986,99.385
HCC1937,2.50E-09,-8.602059991,91.32541,90.73635,77.37744,93.38868
HCC1937,5.00E-09,-8.301029996,85.99736,84.8773,75.54638,89.45571
HCC1937,1.00E-08,-8,84.9846,71.89232,72.2977,77.70603
HCC1937,2.50E-08,-7.602059991,74.15236,66.5875,71.64798,67.46617
HCC1937,5.00E-08,-7.301029996,67.45928,58.74902,66.2729,61.31612
HCC1937,1.00E-07,-7,51.47512,45.68488,65.44596,55.81181
HCC1937,2.50E-07,-6.602059991,40.9071,33.65005,58.06261,33.48708
HCC1937,5.00E-07,-6.301029996,20.91588,26.44499,35.97165,23.61624
SUM159PT,1.00E-10,-10,100,100,100,100
SUM159PT,1.00E-09,-9,90.14679,93.71571,96.47495,87.33822
SUM159PT,2.50E-09,-8.602059991,89.25258,91.22194,95.06802,79.60393
SUM159PT,5.00E-09,-8.301029996,79.50059,87.90523,81.69449,74.92593
SUM159PT,1.00E-08,-8,73.20735,81.94514,86.98206,70.7937
SUM159PT,2.50E-08,-7.602059991,53.53467,65.48628,82.46753,67.45673
SUM159PT,5.00E-08,-7.301029996,8.925257,33.09227,61.95114,57.94481
SUM159PT,1.00E-07,-7,4.94348,2.842892,20.3154,46.17184
SUM159PT,2.50E-07,-6.602059991,5.247174,1.246882,8.858998,37.8606
SUM159PT,5.00E-07,-6.301029996,4.454193,1.471321,7.86951,24.18525
MDAMB231,1.00E-10,-10,100,100,100,100
MDAMB231,1.00E-09,-9,91.56766,91.72647,98.82769,82.77209
MDAMB231,2.50E-09,-8.602059991,94.23356,83.74843,95.6652,67.73903
MDAMB231,5.00E-09,-8.301029996,81.62851,71.54918,96.64666,58.17799
MDAMB231,1.00E-08,-8,67.89337,61.62939,91.76661,42.39327
MDAMB231,2.50E-08,-7.602059991,28.2237,42.5496,80.86148,17.43837
MDAMB231,5.00E-08,-7.301029996,6.143147,4.178978,21.56488,8.208058
MDAMB231,1.00E-07,-7,3.042597,2.490504,3.407851,2.796153
MDAMB231,2.50E-07,-6.602059991,3.419299,1.857322,1.93566,3.307275
MDAMB231,5.00E-07,-6.301029996,3.796002,1.646264,2.23555,4.900783
BT549,1.00E-10,-10,100,100,100,100
BT549,1.00E-09,-9,97.05352,96.42552,91.02697,89.54299
BT549,2.50E-09,-8.602059991,92.42333,88.85107,90.53424,84.19831
BT549,5.00E-09,-8.301029996,82.14072,86.41134,90.40458,79.16345
BT549,1.00E-08,-8,78.08178,80.34043,85.34751,61.19289
BT549,2.50E-08,-7.602059991,43.29525,60.11347,81.17221,63.4392
BT549,5.00E-08,-7.301029996,17.73902,23.03546,65.45644,51.97522
BT549,1.00E-07,-7,6.434154,7.716311,41.13071,20.13943
BT549,2.50E-07,-6.602059991,5.321709,1.929078,13.22614,10.06971
BT549,5.00E-07,-6.301029996,4.028864,0.879433,6.431535,16.11154
HS578T,1.00E-10,-10,100,100,100,100
HS578T,1.00E-09,-9,98.85761,92.93584,96.82212,97.80167
HS578T,2.50E-09,-8.602059991,92.86709,84.64031,91.35369,97.50853
HS578T,5.00E-09,-8.301029996,85.42769,79.90928,87.77755,94.04005
HS578T,1.00E-08,-8,82.55782,69.61764,86.4837,91.01123
HS578T,2.50E-08,-7.602059991,51.01699,57.22618,82.23278,84.17194
HS578T,5.00E-08,-7.301029996,42.18445,25.08101,76.08336,75.37861
HS578T,1.00E-07,-7,37.66509,4.925469,15.62113,41.62188
HS578T,2.50E-07,-6.602059991,15.57537,4.601429,6.066861,31.36297
HS578T,5.00E-07,-6.301029996,4.736694,4.082955,4.230294,15.24181
MDAMB436,1.00E-10,-10,100,100,100,100
MDAMB436,1.00E-09,-9,95.00001,95.48532,101.6129,90.01625
MDAMB436,2.50E-09,-8.602059991,81.4151,93.67944,99.57554,87.82468
MDAMB436,5.00E-09,-8.301029996,72.3585,91.42213,105.0934,85.55195
MDAMB436,1.00E-08,-8,69.05662,90.79005,100.9338,77.51624
MDAMB436,2.50E-08,-7.602059991,59.43397,77.20089,111.2054,54.87012
MDAMB436,5.00E-08,-7.301029996,45.66038,54.62754,100.764,48.94482
MDAMB436,1.00E-07,-7,34.90567,52.14445,98.55688,32.5487
MDAMB436,2.50E-07,-6.602059991,29.52831,45.14673,61.4601,12.09415
MDAMB436,5.00E-07,-6.301029996,8.39623,25.28216,56.5365,25.73051
